VEG_ID,LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD,TREE_SPECIES,LAST_TRIMMED
450,-117.928139,33.80458044,155.89,29.52,18.37,19.03,California palm,9/11/21
451,-117.915312,33.80475162,186.89,53.23,27.56,53.15,Queen palm,9/11/21
452,-117.917751,33.80470139,162.4,29.9,18.04,19.03,Mexican fan palm,9/11/21
453,-117.915626,33.80472997,165.19,31.27,18.37,21,Carrotwood,9/11/21
454,-117.915501,33.80472781,185.14,52.37,18.37,19.03,Dwarf fig tree,9/11/21
455,-117.928512,33.80453921,155.5,29.58,18.37,19.03,Western sycamore,9/11/21
456,-117.928031,33.80454564,145.79,18.51,18.37,23.29,Western sycamore,9/11/21
457,-117.915496,33.80470261,184.97,52.2,19.03,22.31,California palm,9/11/21
458,-117.928439,33.80451928,157.66,32.65,18.37,19.03,Queen palm,9/11/21
459,-117.915315,33.8046905,184.72,51.16,21.33,40.35,Mexican fan palm,9/11/21
460,-117.928327,33.80449876,147.11,21.48,18.37,19.69,Carrotwood,9/11/21
461,-117.915272,33.80466619,184.66,51.65,18.37,19.03,Dwarf fig tree,9/11/21
462,-117.916057,33.80464489,161.95,28.38,19.36,23.95,Western sycamore,9/11/21
463,-117.915658,33.80465023,165.03,31.42,19.69,29.53,Western sycamore,9/11/21
464,-117.915877,33.80464319,161.79,28.03,18.37,20.01,California palm,9/11/21
465,-117.917852,33.80461377,158.31,25.56,18.37,19.03,Queen palm,9/11/21
466,-117.917199,33.8046226,164.34,32.45,18.37,19.03,Mexican fan palm,9/11/21
467,-117.928111,33.80447282,152.07,25.31,18.37,19.03,Carrotwood,9/11/21
468,-117.917286,33.80461783,167.08,35.06,18.37,19.03,Dwarf fig tree,9/11/21
469,-117.916913,33.80462247,159.87,27.93,18.7,23.95,Western sycamore,9/11/21
470,-117.916011,33.80463608,162.37,28.45,18.04,18.7,Western sycamore,9/11/21
471,-117.915517,33.80464146,181.35,48.34,18.7,20.01,California palm,9/11/21
472,-117.917114,33.80461635,160.38,28.57,18.37,19.69,Queen palm,9/11/21
473,-117.916642,33.80462278,160.27,28.19,18.37,19.03,Mexican fan palm,9/11/21
474,-117.916152,33.80462996,163.29,30.29,18.7,21,Carrotwood,9/11/21
475,-117.916101,33.80462969,164.05,30.04,18.37,19.69,Dwarf fig tree,9/11/21
476,-117.917345,33.80460956,164.98,33.13,18.37,19.03,Western sycamore,9/11/21
477,-117.917012,33.80461403,161.33,29.47,18.37,19.03,Western sycamore,9/11/21
478,-117.916853,33.80461627,157.31,25.3,21.65,58.73,California palm,9/11/21
479,-117.915929,33.80462828,163.7,29.56,18.37,19.03,Queen palm,9/11/21
480,-117.915820,33.80463031,166.04,31.98,18.37,19.03,Mexican fan palm,9/11/21
481,-117.917445,33.80460484,165.05,32.75,18.7,20.34,Western sycamore,9/11/21
482,-117.915773,33.80462676,163.63,29.62,18.37,19.03,California palm,9/11/21
483,-117.915307,33.80463288,189.52,56.05,18.37,19.03,Queen palm,9/11/21
484,-117.917410,33.80460158,165.07,32.81,18.37,19.03,Mexican fan palm,9/11/21
485,-117.916956,33.80460044,161.61,28.93,18.7,20.01,Carrotwood,9/11/21
486,-117.916767,33.80460306,165.73,32.98,18.37,19.03,Dwarf fig tree,9/11/21
487,-117.916560,33.80460572,162.19,29.47,18.7,20.34,Western sycamore,9/11/21
488,-117.916358,33.80460832,162.87,29.77,18.37,19.36,Western sycamore,9/11/21
489,-117.915667,33.80461767,165.17,31.29,19.03,29.2,California palm,9/11/21
490,-117.928311,33.80444174,152.26,27.12,18.37,19.03,Queen palm,9/11/21
491,-117.916620,33.80459458,161.32,28.24,18.37,19.03,Mexican fan palm,9/11/21
492,-117.917882,33.80457389,160.45,27.67,18.37,19.03,Carrotwood,9/11/21
493,-117.916134,33.80459719,164.43,30.8,18.37,19.69,Dwarf fig tree,9/11/21
494,-117.915560,33.804605,179.83,46.31,18.7,21.98,Western sycamore,9/11/21
495,-117.915502,33.80460172,181.81,49.23,18.37,19.03,Western sycamore,9/11/21
496,-117.928044,33.80442063,149.14,21.95,25.92,58.73,California palm,9/11/21
497,-117.928106,33.80441545,151.31,24.27,21,38.39,Queen palm,9/11/21
498,-117.928204,33.80440656,151.13,25.94,17.39,18.7,Mexican fan palm,9/11/21
499,-117.915622,33.80457162,198.97,65.06,19.03,31.17,Carrotwood,9/11/21
500,-117.915579,33.80456152,199.71,66.21,18.37,19.03,Dwarf fig tree,9/11/21
501,-117.917954,33.80452588,158.47,25.49,19.03,27.23,Western sycamore,9/11/21
502,-117.928044,33.80436228,148.78,21.67,20.34,45.28,Western sycamore,9/11/21
503,-117.915488,33.80452722,191.78,59.17,18.37,19.03,California palm,9/11/21
504,-117.928125,33.80435464,152.17,25.81,18.37,19.03,Queen palm,9/11/21
505,-117.915612,33.80452145,194.79,61.04,18.37,19.03,Mexican fan palm,9/11/21
506,-117.928315,33.80434421,157.34,32.51,18.37,19.03,Carrotwood,9/11/21
507,-117.917146,33.80449355,168.1,34.41,17.06,20.67,Dwarf fig tree,9/11/21
508,-117.928215,33.80434201,150.88,26.35,17.06,18.7,Western sycamore,9/11/21
509,-117.928087,33.80433331,152.68,25.79,18.7,20.34,Western sycamore,9/11/21
510,-117.917047,33.80448101,170.25,37.09,17.72,18.7,California palm,9/11/21
511,-117.916759,33.80448499,165.67,32.21,18.7,21.98,Queen palm,9/11/21
512,-117.916665,33.80448548,163.54,30.21,18.04,19.03,Mexican fan palm,9/11/21
513,-117.916584,33.80448334,177.64,44.32,18.37,19.03,Western sycamore,9/11/21
514,-117.918008,33.80446048,158.31,25.55,18.37,19.69,California palm,9/11/21
515,-117.915792,33.80448692,158.24,25.1,17.06,17.72,Queen palm,9/11/21
516,-117.917317,33.80445942,206.27,72.49,20.01,28.87,Mexican fan palm,9/11/21
517,-117.916309,33.80447265,174.36,41.31,18.04,19.03,Carrotwood,9/11/21
518,-117.915617,33.80448204,169.96,36.16,18.37,19.03,Dwarf fig tree,9/11/21
519,-117.917244,33.80445834,199.81,66.37,16.4,17.72,Western sycamore,9/11/21
520,-117.916132,33.80447157,181.72,48.07,18.37,19.69,Western sycamore,9/11/21
521,-117.916711,33.80446155,181.82,48.49,15.42,16.73,California palm,9/11/21
522,-117.916274,33.80446707,175.43,41.98,18.7,22.31,Queen palm,9/11/21
523,-117.915965,33.80446707,154.56,21.43,18.7,20.34,Mexican fan palm,9/11/21
524,-117.928086,33.80430053,152.19,25.11,18.7,21.33,Carrotwood,9/11/21
525,-117.928034,33.80430131,147.84,20.92,18.37,20.34,Dwarf fig tree,9/11/21
526,-117.916845,33.8044514,151.57,18.12,18.04,18.7,Western sycamore,9/11/21
527,-117.916965,33.80444596,151.76,18.08,18.37,19.03,Western sycamore,9/11/21
528,-117.918061,33.80440985,158.81,26.24,18.04,19.03,California palm,9/11/21
529,-117.928305,33.80425526,155.16,30.12,18.37,19.03,Queen palm,9/11/21
530,-117.917548,33.80439883,174.43,42.4,18.37,19.03,Mexican fan palm,9/11/21
531,-117.915718,33.80442345,155.51,22.37,18.7,20.01,Carrotwood,9/11/21
532,-117.918093,33.80438861,164.93,32.3,18.04,20.67,Dwarf fig tree,9/11/21
533,-117.928046,33.80424755,150.05,23.07,23.95,46.59,Western sycamore,9/12/21
534,-117.915666,33.804406,156.22,23.09,18.7,19.36,Western sycamore,9/12/21
535,-117.928196,33.80423474,147.43,22.41,18.04,18.7,California palm,9/12/21
536,-117.917372,33.80437983,170.69,37.37,17.06,17.72,Queen palm,9/12/21
537,-117.916413,33.80436415,173.27,39.94,18.7,21,Mexican fan palm,9/12/21
538,-117.916001,33.80436957,173.83,40.51,18.7,20.34,Carrotwood,9/12/21
539,-117.928097,33.80420522,151.51,24.8,21,55.12,Dwarf fig tree,9/12/21
540,-117.917534,33.80434508,207.44,75.06,18.37,19.03,Western sycamore,9/12/21
541,-117.915880,33.80436718,174.68,41.16,18.7,21.98,Western sycamore,9/12/21
542,-117.915596,33.80437126,155.61,22.41,18.37,20.34,California palm,9/12/21
543,-117.916448,33.80434886,173.31,39.82,18.7,20.01,Queen palm,9/12/21
544,-117.916100,33.8043502,176.14,42.82,18.37,19.03,Mexican fan palm,9/12/21
545,-117.916679,33.804339,158.3,24.93,18.37,19.03,Western sycamore,9/12/21
546,-117.915872,33.80434606,174.39,41.18,19.03,23.29,California palm,9/12/21
547,-117.916306,33.80433655,168.1,34.72,18.04,19.03,Queen palm,9/12/21
548,-117.917216,33.80432104,157.04,22.94,18.37,19.03,Mexican fan palm,9/12/21
549,-117.916611,33.80432915,164.79,31.56,16.73,17.72,Carrotwood,9/12/21
550,-117.915733,33.80433354,172,38.56,18.37,19.03,Dwarf fig tree,9/12/21
551,-117.918174,33.80429692,157.37,25.39,18.37,22.31,Western sycamore,9/12/21
552,-117.917026,33.80430521,158.74,24.51,18.37,19.03,Western sycamore,9/12/21
553,-117.917142,33.80430063,164.48,30.45,17.06,17.72,California palm,9/12/21
554,-117.917373,33.80429434,166.09,32.9,17.72,18.37,Queen palm,9/12/21
555,-117.917090,33.80429719,160.45,25.93,18.37,20.01,Mexican fan palm,9/12/21
556,-117.916137,33.80430664,170.87,40.94,21.33,37.07,Carrotwood,9/12/21
557,-117.916111,33.80430694,175.96,42.44,18.37,19.69,Dwarf fig tree,9/12/21
558,-117.916009,33.80430871,164.92,31.33,16.08,17.72,Western sycamore,9/12/21
